fold,image_id,image_path,mask_label_path,has_c2,has_c4,foreground_pixels,c2_pixels,c4_pixels,resunet_ds_dice_c1,resunet_ds_dice_c2,resunet_ds_dice_c3,resunet_ds_dice_c4,resunet_ds_mean_dice_present_fg,resunet_ds_minority_dice_present,proposed_amc_ordinal_dice_c1,proposed_amc_ordinal_dice_c2,proposed_amc_ordinal_dice_c3,proposed_amc_ordinal_dice_c4,proposed_amc_ordinal_mean_dice_present_fg,proposed_amc_ordinal_minority_dice_present,deeplabv3_resnet50_dice_c1,deeplabv3_resnet50_dice_c2,deeplabv3_resnet50_dice_c3,deeplabv3_resnet50_dice_c4,deeplabv3_resnet50_mean_dice_present_fg,deeplabv3_resnet50_minority_dice_present,proposed_minus_resunet_mean_dice,proposed_minus_resunet_c2_dice,resunet_minus_proposed_c4_dice,proposed_minus_deeplab_mean_dice
3,212,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_212.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0212.png,1,0,68925,13293,0,0.7928857858663677,0.6743528580263274,,,0.7336193219463476,0.6743528580263274,0.7976561097976795,0.8338813214341632,,,0.8157687156159213,0.8338813214341632,0.7866612596312818,0.7591862733389068,0.0,,0.5152825109900628,0.3795931366694534,0.08214939366957374,0.15952846340783577,,0.3004862046258585
3,213,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_213.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0213.png,1,0,86429,3374,0,0.8119475223231791,0.3841210336055697,,,0.5980342779643744,0.3841210336055697,0.8112065897188183,0.46862375437651493,,,0.6399151720476666,0.46862375437651493,0.7918785387139817,0.4100969188485462,,,0.6009877287812639,0.4100969188485462,0.04188089408329221,0.08450272077094523,,0.03892744326640263
3,216,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_216.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0216.png,0,0,48238,0,0,0.8389846889465384,0.0,,,0.4194923444732692,0.0,0.8370487097389366,0.0,,,0.4185243548694683,0.0,0.8040336436424071,0.0,,,0.4020168218212036,0.0,-0.0009679896038009006,0.0,,0.016507533048264744
3,218,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_218.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0218.png,0,1,79583,0,46889,0.10175725378013895,0.0,0.6536295287244911,0.779518197935134,0.383726245109941,0.4777159088865417,0.1253865617093056,0.0,0.6078624886915043,0.6629471128496278,0.34904904081260946,0.4236032005137107,0.07701925481370342,0.0,0.5956789074973673,0.7670503304344749,0.3599371231863864,0.45424307931061403,-0.034677204297331565,0.0,0.11657108508550618,-0.01088808237377692
4,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_0.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0000.png,0,0,90030,0,0,0.870468552910894,,,,0.870468552910894,,0.8753470974060819,,,,0.8753470974060819,,0.8660583269781997,,,,0.8660583269781997,,0.004878544495187875,,,0.00928877042788212
4,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_3.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0003.png,0,0,88430,0,0,0.8261634749705763,,,,0.8261634749705763,,0.824277760029209,,,,0.824277760029209,,0.8195698534416263,,,,0.8195698534416263,,-0.0018857149413672447,,,0.0047079065875828
4,5,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_5.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0005.png,1,0,70323,4336,0,0.8456833790196598,0.76453037355293,,,0.805106876286295,0.76453037355293,0.8486181462721052,0.7468606971012792,,,0.7977394216866922,0.7468606971012792,0.8374276326083555,0.642654202181285,,,0.7400409173948203,0.642654202181285,-0.007367454599602752,-0.01766967645165074,,0.057698504291871955
4,12,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_12.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0012.png,0,0,73967,0,0,0.877680530620387,,,0.0,0.4388402653101935,0.0,0.8800887535021906,,,,0.8800887535021906,,0.8639875690523238,,,,0.8639875690523238,,0.44124848819199713,,,0.016101184449866857
4,17,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_17.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0017.png,1,0,94024,3969,0,0.851268171742215,0.7938671209540034,0.0,,0.5483784308987395,0.3969335604770017,0.8412156655487338,0.8195956454121306,,,0.8304056554804322,0.8195956454121306,0.79701543804744,0.8006704178139591,,,0.7988429279306996,0.8006704178139591,0.2820272245816927,0.025728524458127233,,0.03156272754973266
4,18,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_18.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0018.png,1,0,101830,3297,0,0.8625744125825346,0.7622743377762781,,,0.8124243751794064,0.7622743377762781,0.8492820364915532,0.7437306767433871,,,0.7965063566174702,0.7437306767433871,0.8163407757092606,0.772118837740777,,,0.7942298067250189,0.772118837740777,-0.015918018561936198,-0.018543661032890957,,0.002276549892451296
